rank,release,gross,theaters,total_gross,release_date,distributor,estimated,scraped_at
160,The Fabulous Four,2854291,"1,045",2854291,Jul 26,Bleecker Street Media,false,2025-12-13T12:16:56.182116
161,My Penguin Friend,2769460,"1,083",2769460,Aug 16,Roadside Attractions,false,2025-12-13T12:16:56.182116
162,Absolution,2716343,"1,500",2716343,Nov 1,The Samuel Goldwyn Company,false,2025-12-13T12:16:56.182116
163,The Taste of Things,2655074,505,2654510,Feb 9,IFC Films,false,2025-12-13T12:16:56.182116
164,GHOST: Rite Here Rite Now,2647702,755,2647702,Jun 20,Trafalgar Releasing,false,2025-12-13T12:16:56.182116
165,Ezra,2631460,"1,320",2631460,May 31,Bleecker Street Media,false,2025-12-13T12:16:56.182116
166,Sight & Sound Presents: Daniel LIVE,2629933,851,2629933,Aug 30,Fathom Events,false,2025-12-13T12:16:56.182116
167,Boy Kills World,2626127,"1,993",2626127,Apr 26,Roadside Attractions,false,2025-12-13T12:16:56.182116
168,"Hello, Love, Again",2625000,248,2625000,Nov 14,-,false,2025-12-13T12:16:56.182116
169,Escape from Germany,2576216,131,2616475,Apr 12,Susan Tuckett Media,false,2025-12-13T12:16:56.182116
170,Jung Kook: I Am Still,2574318,769,2574318,Sep 18,Trafalgar Releasing,false,2025-12-13T12:16:56.182116
171,The Lord of the Rings: The Two Towers2024 Re-release,2566412,"1,549",2566412,Jun 7,Fathom Events,false,2025-12-13T12:16:56.182116
172,The Blue Angels,2560945,450,2560945,May 17,Amazon MGM Studios,false,2025-12-13T12:16:56.182116
173,Problemista,2503154,379,2503154,Mar 1,A24,false,2025-12-13T12:16:56.182116
174,The American Society of Magical Negroes,2480645,"1,153",2480645,Mar 15,Focus Features,false,2025-12-13T12:16:56.182116
175,The Lord of the Rings: The Return of the King2024 Re-release,2450927,"1,172",2450927,Jun 10,Fathom Events,false,2025-12-13T12:16:56.182116
176,Summer Camp,2403638,"1,787",2403638,May 31,Roadside Attractions,false,2025-12-13T12:16:56.182116
177,Sing Sing,2403211,191,2403211,Jul 12,A24,false,2025-12-13T12:16:56.182116
178,Howl's Moving Castle20th Anniversary – Studio Ghibli Fest 2024,2384690,"1,592",2384690,Sep 26,Fathom Events,false,2025-12-13T12:16:56.182116
179,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2328339,641,2328339,Dec 12,Trafalgar Releasing,false,2025-12-13T12:16:56.182116
180,Hitpig,2324019,"2,107",2324019,Nov 1,Viva Pictures,false,2025-12-13T12:16:56.182116
181,Elevation,2321801,"1,416",2321801,Nov 8,Vertical Entertainment,false,2025-12-13T12:16:56.182116
182,Alien2024 Re-release,2305647,"1,750",2305647,Apr 26,Walt Disney Studios Motion Pictures,false,2025-12-13T12:16:56.182116
183,Exhuma,2288496,70,2310900,Mar 15,Well Go USA Entertainment,false,2025-12-13T12:16:56.182116
184,Flow,2280601,377,4844117,Nov 22,Janus Films,false,2025-12-13T12:16:56.182116
185,In the Land of Saints and Sinners,2258795,896,2258795,Mar 29,The Samuel Goldwyn Company,false,2025-12-13T12:16:56.182116
